Price,value
Ticker,XLU
date,
2021-02-25,51.442317962646484
2021-02-26,50.490638732910156
2021-03-01,51.60669708251953
2021-03-02,51.450965881347656
2021-03-03,50.84535598754883
2021-03-04,50.802101135253906
2021-03-05,51.63264465332031
2021-03-08,52.35938262939453
2021-03-09,53.051509857177734
2021-03-10,53.41487121582031
2021-03-11,53.276451110839844
2021-03-12,53.99453353881836
2021-03-15,54.6866569519043
2021-03-16,54.75587844848633
2021-03-17,53.8647575378418
2021-03-18,53.665767669677734
2021-03-19,53.812843322753906
2021-03-22,53.73528289794922
2021-03-23,54.537166595458984
2021-03-24,54.55459976196289
2021-03-25,55.138587951660156
2021-03-26,55.321624755859375
2021-03-29,55.91432571411133
2021-03-30,55.408775329589844
2021-03-31,55.818443298339844
2021-04-01,55.766143798828125
2021-04-05,56.376277923583984
2021-04-06,56.67262268066406
2021-04-07,56.60289764404297
2021-04-08,56.559329986572266
2021-04-09,56.49829864501953
2021-04-12,56.550594329833984
2021-04-13,57.22174835205078
2021-04-14,57.47452926635742
2021-04-15,58.11079788208008
2021-04-16,58.58147430419922
2021-04-19,58.28512191772461
2021-04-20,59.0259895324707
2021-04-21,58.5291748046875
2021-04-22,58.11079788208008
2021-04-23,58.03235626220703
2021-04-26,57.70112991333008
2021-04-27,57.256614685058594
2021-04-28,57.17816925048828
2021-04-29,57.70112991333008
2021-04-30,58.15439224243164
2021-05-03,58.145660400390625
2021-05-04,57.92774963378906
2021-05-05,56.951534271240234
2021-05-06,57.38734817504883
2021-05-07,57.561676025390625
2021-05-10,58.145660400390625
2021-05-11,57.43095016479492
2021-05-12,56.08863830566406
2021-05-13,57.16945266723633
2021-05-14,57.44837188720703
2021-05-17,56.977699279785156
2021-05-18,56.96898651123047
2021-05-19,56.87310028076172
2021-05-20,57.36991882324219
2021-05-21,57.66627502441406
2021-05-24,57.561676025390625
2021-05-25,56.86438751220703
2021-05-26,56.87310028076172
2021-05-27,56.48958969116211
2021-05-28,56.79466247558594
2021-06-01,56.446006774902344
2021-06-02,56.74235153198242
2021-06-03,57.082279205322266
2021-06-04,56.99512481689453
2021-06-07,57.0997314453125
2021-06-08,56.61161422729492
2021-06-09,57.117156982421875
2021-06-10,57.491943359375
2021-06-11,57.6226921081543
2021-06-14,57.744728088378906
2021-06-15,57.91904067993164
2021-06-16,57.04742431640625
2021-06-17,57.361209869384766
2021-06-18,55.87074661254883
2021-06-21,56.59452819824219
2021-06-22,56.25196075439453
2021-06-23,55.654666900634766
2021-06-24,55.601959228515625
2021-06-25,56.199256896972656
2021-06-28,56.55939483642578
2021-06-29,55.645870208740234
2021-06-30,55.540462493896484
2021-07-01,56.146549224853516
2021-07-02,56.23439025878906
2021-07-06,56.4715576171875
2021-07-07,56.84048080444336
2021-07-08,56.67357635498047
2021-07-09,56.74385070800781
2021-07-12,56.92832565307617
2021-07-13,56.49790954589844
2021-07-14,56.98979949951172
2021-07-15,57.63102722167969
2021-07-16,58.21076202392578
2021-07-19,57.2884521484375
2021-07-20,57.534400939941406
2021-07-21,56.90196990966797
2021-07-22,56.98979949951172
2021-07-23,57.7188720703125
2021-07-26,57.73643493652344
2021-07-27,58.72901153564453
2021-07-28,58.28103256225586
2021-07-29,58.43913650512695
2021-07-30,57.94725799560547
2021-08-02,58.39523696899414
2021-08-03,58.72901153564453
2021-08-04,58.64117431640625
2021-08-05,59.28239822387695
2021-08-06,59.247257232666016
2021-08-09,59.22969436645508
2021-08-10,59.291175842285156
2021-08-11,59.844566345214844
2021-08-12,59.90605926513672
2021-08-13,60.327667236328125
2021-08-16,60.69659423828125
2021-08-17,60.73173141479492
2021-08-18,60.42429733276367
2021-08-19,60.670257568359375
2021-08-20,61.42567825317383
2021-08-23,60.63511276245117
2021-08-24,60.23984909057617
2021-08-25,60.354034423828125
2021-08-26,60.2047119140625
2021-08-27,60.187137603759766
2021-08-30,60.274986267089844
2021-08-31,60.2047119140625
2021-09-01,60.9952507019043
2021-09-02,61.54864501953125
2021-09-03,61.03916931152344
2021-09-07,60.231056213378906
2021-09-08,61.311485290527344
2021-09-09,60.977691650390625
2021-09-10,60.125648498535156
2021-09-13,60.0202522277832
2021-09-14,59.818214416503906
2021-09-15,59.73915481567383
2021-09-16,59.23849105834961
2021-09-17,58.3249626159668
2021-09-20,58.217872619628906
2021-09-21,58.05855941772461
2021-09-22,58.023155212402344
2021-09-23,57.71339416503906
2021-09-24,57.65143585205078
2021-09-27,56.96996307373047
2021-09-28,56.25308609008789
2021-09-29,56.9876594543457
2021-09-30,56.536293029785156
2021-10-01,56.536293029785156
2021-10-04,57.315120697021484
2021-10-05,57.17351150512695
2021-10-06,58.05855941772461
2021-10-07,57.74879455566406
2021-10-08,57.32398223876953
2021-10-11,56.545143127441406
2021-10-12,56.92571258544922
2021-10-13,57.58949661254883
2021-10-14,58.297523498535156
2021-10-15,58.129356384277344
2021-10-18,57.5717887878418
2021-10-19,58.297523498535156
2021-10-20,59.217960357666016
2021-10-21,59.217960357666016
2021-10-22,59.51887893676758
2021-10-25,59.2622184753418
2021-10-26,59.58083724975586
2021-10-27,59.182559967041016
2021-10-28,59.57197570800781
2021-10-29,59.217960357666016
2021-11-01,59.43037033081055
2021-11-02,59.48347091674805
2021-11-03,59.2622184753418
2021-11-04,58.93474578857422
2021-11-05,59.4923210144043
2021-11-08,58.60728073120117
2021-11-09,58.90819549560547
2021-11-10,59.3861198425293
2021-11-11,59.02326202392578
2021-11-12,58.98785400390625
2021-11-15,59.76667785644531
2021-11-16,59.48347091674805
