date,macro_score,liquidity_score,theta_macro_deg,coherence_macro
1954-09-01,-0.1409570453632977,,,
1954-10-01,-0.4499348044690957,,,
1954-11-01,-0.033952444686087165,,,
1954-12-01,-0.2555032194011904,,,
1955-01-01,0.07453221505929598,,,
1955-02-01,0.32796047995077776,,,
1955-03-01,0.11362911409532367,,,
1955-04-01,0.39035162386352207,,,
1955-05-01,-0.08429564807100394,,,
1955-06-01,0.10580545136783141,,,
1955-07-01,0.4923399633184081,,,
1955-08-01,0.4241045163548846,,,
1955-09-01,1.3347856753682217,,,
1955-10-01,1.061010025194229,,,
1955-11-01,1.0926965570954819,,,
1955-12-01,1.0092712346189467,,,
1956-01-01,0.9124113992876324,,,
1956-02-01,1.3975492552109081,,,
1956-03-01,1.4791131429574775,,,
1956-04-01,1.3063903424001921,,,
1956-05-01,2.1615458560657146,,,
1956-06-01,2.29826594433976,,,
1956-07-01,1.559675960534233,,,
1956-08-01,2.1957422440186956,,,
1956-09-01,2.201894549136598,,,
1956-10-01,1.5806173290873407,,,
1956-11-01,1.963901109585894,,,
1956-12-01,1.9922121572130551,,,
1957-01-01,1.4904919663948117,,,
1957-02-01,1.9574812624849176,,,
1957-03-01,1.884077276473528,,,
1957-04-01,1.3103785659881886,,,
1957-05-01,1.6406153610372523,,,
1957-06-01,1.60664082778314,,,
1957-07-01,1.2235558205566306,,,
1957-08-01,1.6459332816377035,,,
1957-09-01,1.465109901958874,,,
1957-10-01,0.7578102772160576,,,
1957-11-01,1.2166856634129513,,,
1957-12-01,1.1963375893294794,,,
1958-01-01,0.3607568566008465,,,
1958-02-01,0.961516136009065,,,
1958-03-01,0.985556430181262,,,
1958-04-01,0.11785069564612188,,,
1958-05-01,0.7367859341192236,,,
1958-06-01,0.642940338531667,,,
1958-07-01,0.050273919158960956,,,
1958-08-01,0.5422547879593682,,,
1958-09-01,0.5434111448264868,,,
1958-10-01,0.3145809109146084,,,
1958-11-01,0.6658525646578449,,,
1958-12-01,0.644662396897022,,,
1959-01-01,0.738212874350446,,,
1959-02-01,0.717599094264065,,,
1959-03-01,0.7384908370753575,,,
1959-04-01,0.9516247200104072,,,
1959-05-01,0.8872927490903688,,,
1959-06-01,0.8436549906999148,,,
1959-07-01,0.7347452810196372,,,
1959-08-01,0.7111807644713598,,,
1959-09-01,0.7674658166755361,,,
1959-10-01,0.45027636011231204,,,
1959-11-01,0.4914585217066589,,,
1959-12-01,0.592152385631788,,,
1960-01-01,0.5135976937037944,,,
1960-02-01,0.7723867124033545,,,
1960-03-01,0.9457591692079325,,,
1960-04-01,0.5910662745485286,,,
1960-05-01,0.911711526664209,,,
1960-06-01,0.8621789858621071,,,
1960-07-01,0.39257643222001376,,,
1960-08-01,0.5291934166924019,,,
1960-09-01,0.5084265715603263,,,
1960-10-01,0.27321836149872897,,,
1960-11-01,0.760112104746836,,,
1960-12-01,0.6546206534490957,,,
1961-01-01,0.3292927244577466,,,
1961-02-01,0.8805699964373029,,,
1961-03-01,0.8157233367705667,,,
1961-04-01,-0.28087702393042424,,,
1961-05-01,-0.3736278393641304,,,
1961-06-01,-0.8551635742538674,,,
1961-07-01,-0.3159824309940894,,,
1961-08-01,-0.11220969024292915,,,
1961-09-01,-0.10546094143137885,,,
1961-10-01,0.004867544294917675,,,
1961-11-01,-0.022149367706909767,,,
1961-12-01,0.28415020453700734,,,
1962-01-01,0.63707941396727,,,
1962-01-02,-0.599228279876546,-0.599228279876546,-135.39570724863822,1.108241991783979
1962-01-03,-0.6094220862121625,-0.6094220862121625,-135.39515617088523,1.1257022464106945
1962-01-04,-0.6230138279929849,-0.6230138279929849,-135.39444745401514,1.1489825860692293
1962-01-05,-0.6128200216573684,-0.6128200216573684,-135.3949762576569,1.1315223313089324
1962-01-08,-0.6094220862121625,-0.6094220862121625,-135.39515617088523,1.1257022464106945
1962-01-09,-0.6026262153217515,-0.6026262153217515,-135.39552163675972,1.1140620766480405
1962-01-10,-0.5958303444313403,-0.5958303444313403,-135.39589482034154,1.1024219069316703
1962-01-11,-0.5924324089861348,-0.5924324089861348,-135.39608438307422,1.0966018220913025
1962-01-12,-0.5924324089861348,-0.5924324089861348,-135.39608438307422,1.0966018220913025
1962-01-15,-0.5856365380957238,-0.5856365380957238,-135.39646960979405,1.0849616524471575
1962-01-16,-0.5754427317601071,-0.5754427317601071,-135.39706320197615,1.067501398075407
1962-01-17,-0.5788406672053125,-0.5788406672053125,-135.39686319208008,1.073321482853121
1962-01-18,-0.582238602650518,-0.582238602650518,-135.3966653395924,1.079141567643774
1962-01-19,-0.582238602650518,-0.582238602650518,-135.3966653395924,1.079141567643774
1962-01-22,-0.5890344735409293,-0.5890344735409293,-135.39627596870687,1.0907817372630666
1962-01-23,-0.582238602650518,-0.582238602650518,-135.3966653395924,1.079141567643774
1962-01-24,-0.5856365380957238,-0.5856365380957238,-135.39646960979405,1.0849616524471575
1962-01-25,-0.582238602650518,-0.582238602650518,-135.3966653395924,1.079141567643774
1962-01-26,-0.582238602650518,-0.582238602650518,-135.3966653395924,1.079141567643774
1962-01-29,-0.5788406672053125,-0.5788406672053125,-135.39686319208008,1.073321482853121
1962-01-30,-0.582238602650518,-0.582238602650518,-135.3966653395924,1.079141567643774
1962-01-31,-0.5856365380957238,-0.5856365380957238,-135.39646960979405,1.0849616524471575
1962-02-01,0.387436506941647,-0.5890344735409293,152.21214262174942,0.8778489444446839
1962-02-02,-0.5924324089861348,-0.5924324089861348,-135.39608438307422,1.0966018220913025
1962-02-05,-0.5958303444313403,-0.5958303444313403,-135.39589482034154,1.1024219069316703
